translation "Kitchen knife","Coltello da cucina"
translation "Amazon's spear","Lancia delle Amazzoni"
translation "Bone spear","Lancia d'osso"
translation "Hooked spear","Lancia uncinata"
translation "Shadow Spear","Lancia d'ombra"
translation "Shadow Trident","Tridente d'ombra"
translation "Bladed spear","Lancia con lame"
translation "New race spear","Lancia dei Raanaar"
translation "Stranger's Spear","Lancia dello Straniero"
translation "Poisonous Spear","Lancia avvelenata"
translation "Poisonous Partisan","Partigiana avvelenata"
translation "Poisonous Amazon's spear","Lancia delle Amazzoni avvelenata"
translation "Poisonous Bone spear","Lancia d'osso avvelenata"
translation "Poisonous Hooked spear","Lancia uncinata avvelenata"
translation "Poisonous Bladed spear","Lancia con lame avvelenata"
translation "Poisonous New race spear","Lancia di Raanaar avvelenata"
translation "Short Bow","Arco corto"
translation "Hunter's bow","Arco da caccia"
translation "Composite Bow","Arco composito"
translation "Bone bow","Arco d'osso"
translation "Long bow","Arco lungo"
translation "Shadow Bow","Arco d'ombra"
translation "Elven bow","Arco degli Elfi"
translation "New race bow","Arco dei Raanaar"
translation "Eradicator","Eradicatore"
translation "Marksman's Rapid Shot","Tiro rapido del cecchino"
translation "Light crossbow","Balestra leggera"
translation "Regular crossbow","Balestra normale"
translation "Heavy crossbow","Balestra pesante"
translation "Bone crossbow","Balestra d'osso"
translation "Assassin's crossbow","Balestra degli Assassini"
translation "Shadow crossbow","Balestra d'ombra"
translation "War crossbow","Balestra da combattimento"
translation "New race crossbow","Balestra dei Raanaar"
translation "Inquisition crossbow","Balestra dell'Inquisizione"
translation "Fighting Stick","Bastone da combattimento"
translation "Staff","Bastone"
translation "Glaive","Gladio"
translation "Bone staff","Bastone d'osso"
translation "Scythe","Falce"
translation "Shadow Staff","Bastone d'ombra"
translation "Great halberd","Alabarda possente"
translation "New race staff","Bastone dei Raanaar"
translation "Defender","Difensore"
translation "Poisonous Fighting Stick","Bastone da combattimento avvelenato"
translation "Poisonous Poisonous Staff","Bastone avvelenato"
translation "Poisonous Glaive","Gladio avvelenato"
translation "Poisonous Bone staff","Bastone d'osso avvelenato"
translation "Poisonous Scythe","Falce avvelenata"
translation "Poisonous Great halberd","Alabarda possente avvelenata"
translation "Poisonous New race staff","Bastone dei Raanaar avvelenato"
translation "Two Handed Bastard sword","Spada bastarda a due mani"
translation "Two handed sword","Spada a due mani"
translation "Two handed bone sword","Spada d'osso a due mani"
translation "Claymore","Spadone Claymore"
translation "Great Sword","Spada possente"
translation "Great Shadow Sword","Spada d'ombra possente"
translation "Giant sword","Spada gigante"
translation "Royal twohanded sword","Spada regale a due mani"
translation "Big sword with teeth","Grossa spada dentata"
translation "New race two handed sword","Spada a due mani dei Raanaar"
translation "Z_Deathknight Claw","Artiglio del Cavaliere della Morte"
translation "Z_BodyPileSword","Spada magica"
translation "Poisonous Two Handed Bastard sword","Spada bastarda a due mani avvelenata"
translation "Poisonous Two handed sword","Spada a due mani avvelenata"
translation "Poisonous Two handed bone sword","Spada d'osso a due mani avvelenata"
translation "Poisonous Claymore","Spadone Claymore avvelenato"
translation "Poisonous Great Sword","Spada possente avvelenata"
translation "Poisonous Giant sword","Spada gigante avvelenata"
translation "Poisonous Royal twohanded sword","Spada regale a due mani avvelenata"
translation "Poisonous Big sword with teeth","Grossa spada dentata avvelenata"
translation "Poisonous New race two handed sword","Spada a due mani dei Raanaar avvelenata"
translation "Two handed battle axe","Ascia da combattimento a due mani"
translation "Two handed bone axe","Ascia d'osso a due mani"
translation "Great axe","Ascia possente"
translation "Great Shadow Axe","Ascia d'ombra possente"
translation "Giant axe","Ascia gigante"
translation "New race two handed axe","Ascia a due mani dei Ranaar"
translation "Decapitator","Decapitatore"
translation "Demon's Cutter","Lama del demonio"
translation "Poisonous Two handed battle axe","Ascia da combattimento a due mani avvelenata"
translation "Poisonous Two handed bone axe","Ascia d'osso a due mani avvelenata"
translation "Poisonous Great axe","Ascia possente avvelenata"
translation "Poisonous Giant axe","Ascia gigante avvelenata"
translation "Poisonous New race two handed axe","Ascia a due mani dei Ranaar avvelenata"
translation "Small hammer","Martello piccolo"
translation "Big wooden hammer","Grosso martello di legno"
translation "Two handed bone hammer","Martello d'osso a due mani"
translation "Two handed hammer","Martello a due mani"
translation "Two handed spiked battle war hammer","Mazza d'arme chiodata a due mani"
translation "Two handed shadow hammer","Martello d'ombra a due mani"
translation "Two handed war hammer","Mazza d'arme a due mani"
translation "Two handed battle hammer","Martello da combattimento a due mani"
translation "New race two handed hammer","Martello a due mani dei Raanaar"
translation "Z_HeadCrusher","Frantumacrani"
translation "Poisonous Small hammer","Martello piccolo avvelenato"
translation "Poisonous Big wooden hammer","Grosso martello di legno avvelenato"
translation "Poisonous Two handed bone hammer","Martello d'osso a due mani avvelenato"
translation "Poisonous Two handed hammer","Martello a due mani avvelenato"
translation "Poisonous Two handed spiked battle war hammer","Mazza d'arme chiodata a due mani avvelenata"
translation "Poisonous Two handed war hammer","Mazza d'arme a due mani avvelenata"
translation "Poisonous Two handed battle hammer","Martello da combattimento a due mani avvelenato"
translation "Poisonous New race two handed hammer","Martello a due mani dei Raanaar avvelenato"
translation "Bark","Bacchetta di corteccia"
translation "Willow","Bacchetta di salice"
translation "Bone Wand","Bacchetta d'osso"
translation "Oak","Bacchetta di quercia"
translation "Shadow Wand","Bacchetta d'ombra"
translation "Ent wood","Bacchetta di legno degli Ent"
translation "New race wand","Bacchetta dei Raanaar"
translation "Zandalor's Inferno","Inferno di Zandalor"
translation "Pan","Padella"
translation "Pan 1","Padella 1"
translation "Pan 2","Padella 2"
translation "Pan 3","Padella 3"
translation "Pan 4","Padella 4"
translation "Pan 5","Padella 5"
translation "Pan 6","Padella 6"
translation "Pan 7","Padella 7"
translation "Garden Tool","Attrezzo da giardino"
translation "Shovel","Pala"
translation "Spade 1","Badile 1"
translation "Spade 2","Badile 2"
translation "Spade 3","Badile 3"
translation "Hay Fork","Forcone"
translation "Broom","Scopa"
translation "Rake","Rastrello"
translation "Pick","Piccone"
translation "Cutlery","Posate"
translation "Spoon","Cucchiaio"
translation "Fork","Forchetta"
translation "Z_Mudstinger","Pungolo di fango"
translation "Z_Flamestinger","Pungolo fiammeggiante"
translation "Z_Wavestinger","Pungolo d'onda"
translation "Z_Cloudstinger","Pungolo nebuloso"
translation "UniqueWeapon5","Tagliagola"
translation "UniqueWeapon6","Maglio del Furore"
translation "UniqueWeapon7","Spezzamascelle"
translation "UniqueWeapon8","Ascia Excalibur"
translation "UniqueWeapon9","Spada della Sentinella"
translation "UniqueWeapon10","Lancia di Lanilor"
translation "UniqueWeapon11","Spada di Seth"
translation "UniqueWeapon12","Pugnale di Yarun"
translation "UniqueWeapon13","Bacchetta di Iona"
translation "UniqueWeapon14","Ascia di Eolus"
translation "UniqueWeapon15","Arco lungo di Verlat"
translation "UniqueWeapon16","Balestra dello Strisciante"
translation "UniqueWeapon17","Bacchetta di Mardaneus"
translation "UniqueWeapon18","ArmaUnica18"
translation "UniqueWeapon19","ArmaUnica19"
translation "UniqueWeapon20","ArmaUnica20"
translation "UniqueWeapon21","ArmaUnica21"
translation "UniqueWeapon22","ArmaUnica22"
translation "UniqueWeapon23","ArmaUnica23"
translation "UniqueWeapon24","ArmaUnica24"
translation "UniqueWeapon25","ArmaUnica25"
translation "UniqueWeapon26","ArmaUnica26"
translation "UniqueWeapon27","ArmaUnica27"
translation "UniqueWeapon28","ArmaUnica28"
translation "UniqueWeapon29","ArmaUnica29"
translation "UniqueWeapon30","ArmaUnica30"
translation "UniqueWeapon31","ArmaUnica31"
translation "UniqueWeapon32","ArmaUnica32"
translation "UniqueWeapon33","ArmaUnica33"
translation "UniqueWeapon34","ArmaUnica34"
translation "UniqueWeapon35","ArmaUnica35"
translation "UniqueWeapon36","ArmaUnica36"
translation "UniqueWeapon37","ArmaUnica37"
translation "UniqueWeapon38","ArmaUnica38"
translation "UniqueWeapon39","ArmaUnica39"
translation "UniqueWeapon40","ArmaUnica40"
translation "UniqueWeapon41","ArmaUnica41"
translation "UniqueWeapon42","ArmaUnica42"
translation "UniqueWeapon43","ArmaUnica43"
translation "UniqueWeapon44","ArmaUnica44"
translation "UniqueWeapon45","ArmaUnica45"
translation "UniqueWeapon46","ArmaUnica46"
translation "UniqueWeapon47","ArmaUnica47"
translation "UniqueWeapon48","ArmaUnica48"
translation "UniqueWeapon49","ArmaUnica49"
translation "UniqueWeapon50","ArmaUnica50"
translation "Round","Scudo rotondo"
translation "Kite","Scudo normanno"
translation "Metal","Scudo di metallo"
translation "Buckler","Brocchiere"
translation "Royal","Scudo regale"
translation "Tournament","Scudo da torneo"
translation "Large","Scudo grande"
translation "Magic","Scudo magico"
translation "Tower","Scutum romano"
translation "Shadow shield","Scudo d'ombra"
translation "Bone shield","Scudo d'osso"
translation "New race shield","Scudo dei Raanaar"
translation "Angels Hide","Riparo angelico"
translation "Shield of Faith","Scudo della Fede"
translation "UniqueShield1","Scudo dell'Ammansimento"
translation "UniqueShield2","Scudo della Vista"
translation "UniqueShield3","Scudo del Pinguino"
translation "UniqueShield4","Scudo del Silenzio"
translation "UniqueShield5","Scudo di conchiglie"
translation "UniqueShield6","ScudoUnico6"
translation "UniqueShield7","ScudoUnico7"
translation "UniqueShield8","ScudoUnico8"
translation "UniqueShield9","ScudoUnico9"
translation "UniqueShield10","ScudoUnico10"
translation "UniqueShield11","ScudoUnico11"
translation "UniqueShield12","ScudoUnico12"
translation "UniqueShield13","ScudoUnico13"
translation "UniqueShield14","ScudoUnico14"
translation "UniqueShield15","ScudoUnico15"
translation "UniqueShield16","ScudoUnico16"
translation "UniqueShield17","ScudoUnico17"
translation "UniqueShield18","ScudoUnico18"
translation "UniqueShield19","ScudoUnico19"
translation "UniqueShield20","ScudoUnico20"
translation "Rags armor","Armatura di stracci"
translation "Yellow Rags","Stracci gialli"
translation "Leather Rags","Stracci di cuoio"
translation "White Rags","Stracci bianchi"
translation "Red Rags","Stracci rossi"
translation "Green Rags","Stracci verdi"
translation "Blue Rags","Stracci blu"
translation "Brown Rags","Stracci marrone"
translation "Black Rags","Stracci neri"
translation "Light Blue Rags","Stracci azzurri"
translation "Robe armor","Veste corazzata"
translation "Citadel Mage Armor","Armatura del Mago della Cittadella"
translation "Citadel Mage Armor Blue","Armatura blu del Mago della Cittadella"
translation "Citadel Guard Armor","Armatura delle Guardie della cittadella"
translation "Leather armor","Corazza di cuoio"
translation "Studded leather armor","Corazza di cuoio borchiata"
translation "Bone armor","Armatura d'osso"
translation "Chain armor","Armatura di maglia"
translation "Scale armor","Armatura a scaglie"
translation "Plate armor","Corazza di piastre"
translation "Shadow armor","Armatura d'ombra"
translation "Full plate armor","Corazza di piastre completa"
translation "New race armor","Armatura dei Raanaar"
translation "King of Fire Armor","Armatura del Re del Fuoco"
translation "Zandalor's Skin","Pelle di Zandalor"
translation "Marksman's Cloak","Mantello del Cecchino"
translation "Spine Bone","Spina dorsale"
translation "IronSkin","Pellediferro"
translation "Jarnic's Magic Robe","Veste magica di Jarnic"
translation "Sandals","Sandali"
translation "Shoes Black","Scarpe nere"
translation "Shoes Blue","Scarpe blu"
translation "Shoes Darkbrown","Scarpe marrone scuro"
translation "Shoes Green","Scarpe verdi"
translation "Shoes","Scarpe"
translation "Boots Brown","Stivali marrone"
translation "Boots Gray","Stivali grigi"
translation "Boots Red","Stivali rossi"
translation "Boots White","Stivali bianchi"
translation "Boots","Stivali"
translation "Chain boots","Stivali di maglia"
translation "Bone boots","Stivali d'osso"
translation "Scale boots","Stivali di scaglie"
translation "Shadow Boots","Stivali d'ombra"
translation "Plate boots","Stivali di piastre"
translation "Holy Sandals of the Damned","Sandali sacri dei Dannati"
translation "Zandalor's Wings","Ali di Zandalor"
translation "ThunderFoot","Piè tonante"
translation "Rope","Corda"
translation "Plain ring","Anello semplice"
translation "Copper ring","Anello di rame"
translation "Iron ring","Anello di ferro"
translation "Silver ring","Anello d'argento"
translation "Bone ring","Anello d'osso"
translation "Gold ring","Anello d'oro"
translation "Saphire ring","Anello di zaffiri"
translation "Ruby ring","Anello di rubini"
translation "Emerald ring","Anello di smeraldo"
translation "Birdclaw ring","Anello dell'Artiglio"
translation "Diamond ring","Anello di diamanti"
translation "Blackrock ring","Anello della Roccia nera"
translation "Skull ring","Anello del Teschio"
translation "Pearl ring","Anello con perle"
translation "Morpheus","Morpheus"
translation "Zandalor's Eye","Occhio di Zandalor"
translation "Rope amulet","Amuleto di corda"
translation "Plain amulet","Amuleto semplice"
translation "Copper amulet","Amuleto di rame"
translation "Iron amulet","Amuleto di ferro"
translation "Silver amulet","Amuleto d'argento"
translation "Bone amulet","Amuleto d'osso"
translation "Golden amulet","Amuleto d'oro"
translation "Saphire amulet","Amuleto di zaffiro"
translation "Ruby amulet","Amuleto di rubino"
translation "Emerald amulet","Amuleto di smeraldo"
translation "Birdclaw amulet","Amuleto dell'Artiglio"
translation "Diamond amulet","Amuleto di diamante"
translation "Blackrock amulet","Amuleto della Roccia nera"
translation "Skull amulet","Amuleto del Teschio"
translation "Pearl amulet","Amuleto di perle"
translation "Amulet of Sight","Amuleto della Vista"
translation "The Healer","Il Guaritore"
translation "Stanger's Amulet","Amuleto dello Straniero"
translation "Raan's Blessing","Benedizione di Raan"
translation "Heart of the Spirits","Cuore degli Spiriti"
translation "Rope","Corda"
translation "Sash","Fusciacca"
translation "Strong sash","Fusciacca resistente"
translation "Exquisite sash","Fusciacca elegante"
translation "Belt","Cintura"
translation "Spiked belt","Cintura chiodata"
translation "Bone belt","Cintura d'osso"
translation "Tripple belt","Cintura tripla"
translation "Priestly rope","Cordone sacerdotale"
translation "Heavy belt","Cintura pesante"
translation "Finger belt","Cintura di dita"
translation "Heavy chain belt","Cintura di maglia pesante"
translation "Magic rope","Cordone del mago"
translation "Skull belt","Cintura del Teschio"
translation "Heavy plated belt","Cintura di piastre pesante"
translation "Pelvic Bone belt","Cintura dell'osso pelvico"
translation "Marksman Rope","Cordone del cecchino"
translation "Rags leggings","Gambali di stracci"
translation "Cloth Skirt Black","Gonna nera"
translation "Cloth Skirt Blue","Gonna blu"
translation "Cloth Skirt Brown","Gonna marrone"
translation "Cloth Skirt Green","Gonna verde"
translation "Cloth Skirt Purple","Gonna viola"
translation "Cloth Skirt Red","Gonna rossa"
translation "Cloth Skirt White","Gonna bianca"
translation "Cloth Skirt Yellow","Gonna gialla"
translation "Cloth Leggings Black","Gambali di tessuto neri"
translation "Cloth Leggings Blue","Gambali di tessuto blu"
translation "Cloth Leggings Brown","Gambali di tessuto marrone"
translation "Cloth Leggings Cyan","Gambali di tessuto azzurri"
translation "Cloth Leggings Gray","Gambali di tessuto grigi"
translation "Cloth Leggings Green","Gambali di tessuto verdi"
translation "Cloth Leggings Red","Gambali di tessuto rossi"
translation "Cloth Leggings White","Gambali di tessuto bianchi"
translation "Cloth Leggings Yellow","Gambali di tessuto gialli"
translation "Leather Leggings Brown","Gambali di cuoio marrone"
translation "Citadel Leggings","Gambali della Cittadella"
translation "Leather Leggings","Gambali di cuoio"
translation "Citadel Leggings Black","Gambali della Cittadella neri"
translation "Robe Leggings Blue","Gambali da abito blu"
translation "Chain leggings","Gambali di maglia"
translation "Bone leggings","Gambali d'osso"
translation "Scale leggings","Gambali di scaglie"
translation "Shadow leggings","Gambali d'ombra"
translation "Plate leggings","Gambali di piastre"
translation "New race leggings","Gambali dei Raanaar"
translation "Rags Gloves","Guanti di stracci"
translation "Rags Gloves Black","Guanti di stracci neri"
translation "Rags Gloves Blue","Guanti di stracci blu"
translation "Rags Gloves Brown","Guanti di stracci marrone"
translation "Rags Gloves Cyan","Guanti di stracci azzurri"
translation "Rags Gloves Green","Guanti di stracci verdi"
translation "Rags Gloves Red","Guanti di stracci rossi"
translation "Rags Gloves White","Guanti di stracci bianchi"
translation "Rags Gloves Yellow","Guanti di stracci gialli"
translation "Leather gloves","Guanti di pelle"
translation "Chain gloves","Guanti di maglia"
translation "Bone gloves","Guanti d'osso"
translation "Scale gloves","Guanti di scaglie"
translation "Shadow gloves","Guanti d'ombra"
translation "Gauntlets","Guanti d'armatura"
translation "New race gloves","Guanti dei Raanaar"
translation "Princess of Fire","Principessa del Fuoco"
translation "Marksman Friends","Amici del Cecchino"
translation "Prince of Fire","Principe del Fuoco"
translation "Hat","Cappello"
translation "Black Hat","Cappello nero"
translation "Brown Hat","Cappello marrone"
translation "Green Hat","Cappello verde"
translation "White Hat","Cappello bianco"
translation "Donkey ears","Orecchie d'asino"
translation "Blue Cowl","Cappuccio blu"
translation "Black Cowl","Cappuccio nero"
translation "Citadel Helmet","Elmo della Cittadella"
translation "Citadel Helmet Black","Elmo della Cittadella nero"
translation "Leather cap","Calotta di pelle"
translation "Chain helmet","Elmo di maglia"
translation "Bone helmet","Elmo d'osso"
translation "Scale helmet","Elmo di scaglie"
translation "Shadow helmet","Elmo d'ombra"
translation "Plate helmet","Elmo di piastre"
translation "New race helmet","Elmo dei Raanaar"
translation "Z_Skull Cap","Calottina"
translation "Headbone","Osso cranico"
translation "Stranger's Hat","Cappello dello Straniero"
translation "Z_Skull_Reward","Ricompensa del Teschio"
translation "Pot","Vaso"
translation "Pot 1","Vaso 1"
translation "Pot 2","Vaso 2"
translation "UniqueArmor1","Pelle di demone"
translation "UniqueArmor2","Manto angelico"
translation "UniqueArmor3","Armatura demoniaca"
translation "UniqueArmor4","Armatura draconiana"
translation "UniqueArmor5","Armatura del Guardiano della Torre"
translation "UniqueArmor6","Pelliccia del borghese"
translation "UniqueArmor7","Corazza di piastre di Goldsun"
translation "UniqueArmor8","Cotta di maglia di Bothrin"
translation "UniqueArmor9","Cotta di scaglie della Piuma"
translation "UniqueArmor10","ArmaturaUnica10"
translation "UniqueArmor11","ArmaturaUnica11"
translation "UniqueArmor12","ArmaturaUnica12"
translation "UniqueArmor13","ArmaturaUnica13"
translation "UniqueArmor14","ArmaturaUnica14"
translation "UniqueArmor15","ArmaturaUnica15"
translation "UniqueArmor16","ArmaturaUnica16"
translation "UniqueArmor17","ArmaturaUnica17"
translation "UniqueArmor18","ArmaturaUnica18"
translation "UniqueArmor19","ArmaturaUnica19"
translation "UniqueArmor20","ArmaturaUnica20"
translation "Z_Mudskull","Teschio fangoso"
translation "UniqueHelmet2","Calotta gloriosa"
translation "UniqueHelmet3","Calotta angelica"
translation "UniqueHelmet4","Elmo demoniaco"
translation "UniqueHelmet5","Elmo nordico"
translation "UniqueHelmet6","Calotta del Filosofo"
translation "UniqueHelmet7","Elmo del Barbaro"
translation "UniqueHelmet8","ElmoUnico8"
translation "UniqueHelmet9","ElmoUnico9"
translation "UniqueHelmet10","ElmoUnico10"
translation "UniqueHelmet11","ElmoUnico11"
translation "UniqueHelmet12","ElmoUnico12"
translation "UniqueHelmet13","ElmoUnico13"
translation "UniqueHelmet14","ElmoUnico14"
translation "UniqueHelmet15","ElmoUnico15"
translation "UniqueHelmet16","ElmoUnico16"
translation "UniqueHelmet17","ElmoUnico17"
translation "UniqueHelmet18","ElmoUnico18"
translation "UniqueHelmet19","ElmoUnico19"
translation "UniqueHelmet20","ElmoUnico20"
translation "Z_Shadowdancer","Danzatore d'ombra"
translation "UniqueRing2","Anello della Chiaroveggenza"
translation "UniqueRing3","Anello della Mandragora"
translation "UniqueRing4","Anello viola scuro"
translation "UniqueRing5","Anello della Protezione"
translation "UniqueRing6","Anello papale"
translation "UniqueRing7","Anello della Follia"
translation "UniqueRing8","Anello della Marmotta"
translation "UniqueRing9","Anello della Fortuna"
translation "UniqueRing10","AnelloUnico10"
translation "UniqueRing11","AnelloUnico11"
translation "UniqueRing12","AnelloUnico12"
translation "UniqueRing13","AnelloUnico13"
translation "UniqueRing14","AnelloUnico14"
translation "UniqueRing15","AnelloUnico15"
translation "UniqueRing16","AnelloUnico16"
translation "UniqueRing17","AnelloUnico17"
translation "UniqueRing18","AnelloUnico18"
translation "UniqueRing19","AnelloUnico19"
translation "UniqueRing20","AnelloUnico20"
translation "UniqueAmulet1","Amuleto del Navigatore"
translation "UniqueAmulet2","Amuleto angelico"
translation "UniqueAmulet3","Collana del Canto del cigno"
translation "UniqueAmulet4","Amuleto della Furia"
translation "UniqueAmulet5","Amuleto del Chiaro di luna"
translation "UniqueAmulet6","Amuleto del Valorer"
translation "UniqueAmulet7","Amuleto dei Cieli"
translation "UniqueAmulet8","Amuleto della Disperazione"
translation "UniqueAmulet9","Amuleto del Grifone"
translation "UniqueAmulet10","Amuleto del Pinguino"
translation "UniqueAmulet11","Amuleto dell'Oscurità"
translation "UniqueAmulet12","Amuleto dei Magi"
translation "UniqueAmulet13","AmuletoUnico13"
translation "UniqueAmulet14","AmuletoUnico14"
translation "UniqueAmulet15","AmuletoUnico15"
translation "UniqueAmulet16","AmuletoUnico16"
translation "UniqueAmulet17","AmuletoUnico17"
translation "UniqueAmulet18","AmuletoUnico18"
translation "UniqueAmulet19","AmuletoUnico19"
translation "UniqueAmulet20","AmuletoUnico20"
translation "UniqueBoot1","Sandali angelici"
translation "UniqueBoot2","Stivali demoniaci"
translation "UniqueBoot3","Stivali gloriosi"
translation "UniqueBoot4","Stivali col tacco a spillo"
translation "UniqueBoot5","Mocassini"
translation "UniqueBoot6","Stivali eroici"
translation "UniqueBoot7","ReBoot"
translation "UniqueBoot8","Stivali del Viaggiatore cosmico"
translation "UniqueBoot9","Doposci"
translation "UniqueBoot10","Stivali di Pelle coriacea"
translation "UniqueBoot11","Stivali del Pirata"
translation "UniqueBoot12","StivaliUnici12"
translation "UniqueBoot13","StivaliUnici13"
translation "UniqueBoot14","StivaliUnici14"
translation "UniqueBoot15","StivaliUnici15"
translation "UniqueBoot16","StivaliUnici16"
translation "UniqueBoot17","StivaliUnici17"
translation "UniqueBoot18","StivaliUnici18"
translation "UniqueBoot19","StivaliUnici19"
translation "UniqueBoot20","StivaliUnici20"
translation "UniqueLegging1","Gambali del Pinguino"
translation "UniqueLegging2","Gambali angelici"
translation "UniqueLegging3","Gambali demoniaci"
translation "UniqueLegging4","Gambali del Folletto corridore"
translation "UniqueLegging5","Gambali di piombo"
translation "UniqueLegging6","Gambali dell'Arto perduto"
translation "UniqueLegging7","Gambali del Pirata"
translation "UniqueLegging8","GambaliUnici8"
translation "UniqueLegging9","GambaliUnici9"
translation "UniqueLegging10","GambaliUnici10"
translation "UniqueLegging11","GambaliUnici11"
translation "UniqueLegging12","GambaliUnici12"
translation "UniqueLegging13","GambaliUnici13"
translation "UniqueLegging14","GambaliUnici14"
translation "UniqueLegging15","GambaliUnici15"
translation "UniqueLegging16","GambaliUnici16"
translation "UniqueLegging17","GambaliUnici17"
translation "UniqueLegging18","GambaliUnici18"
translation "UniqueLegging19","GambaliUnici19"
translation "UniqueLegging20","GambaliUnici20"
translation "UniqueGlove1","Guanti della Precisione"
translation "UniqueGlove2","Guanti di conchiglie"
translation "UniqueGlove3","Guanti luccicanti"
translation "UniqueGlove4","Guanti del Pinguino"
translation "UniqueGlove5","Guanti angelici"
translation "UniqueGlove6","Guanti demoniaci"
translation "UniqueGlove7","Guanti della Letizia"
translation "UniqueGlove8","Guanti della Gloria"
translation "UniqueGlove9","Guanti del Chirurgo"
translation "UniqueGlove10","Guanti d'Oro"
translation "UniqueGlove11","GuantiUnici11"
translation "UniqueGlove12","GuantiUnici12"
translation "UniqueGlove13","GuantiUnici13"
translation "UniqueGlove14","GuantiUnici14"
translation "UniqueGlove15","GuantiUnici15"
translation "UniqueGlove16","GuantiUnici16"
translation "UniqueGlove17","GuantiUnici17"
translation "UniqueGlove18","GuantiUnici18"
translation "UniqueGlove19","GuantiUnici19"
translation "UniqueGlove20","GuantiUnici20"
translation "UniqueBelt1","Cintura della Sentinella"
translation "UniqueBelt2","Cintura demoniaca"
translation "UniqueBelt3","Cintura angelica"
translation "UniqueBelt4","Cintura del Pinguino"
translation "UniqueBelt5","Cintura della Bibbia"
translation "UniqueBelt6","Cintura del Lutto"
translation "UniqueBelt7","CinturaUnica7"
translation "UniqueBelt8","CinturaUnica8"
translation "UniqueBelt9","CinturaUnica9"
translation "UniqueBelt10","CinturaUnica10"
translation "UniqueBelt11","CinturaUnica8"
